,id,symbol,name,localization,image,current_price,market_cap,total_volume,forks,stars,subscribers,total_issues,closed_issues,pull_requests_merged,pull_request_contributors,code_additions_deletions_4_weeks,commit_count_4_weeks
0,bitcoin,btc,Bitcoin,Bitcoin,https://assets.coingecko.com/coins/images/1/thumb/bitcoin.png?1547033579,3983.317781297362,70175421257.0859,9845582434.366617,,,,,,,,"{'additions': None, 'deletions': None}",
0,bitcoin,btc,Bitcoin,Bitcoin,https://assets.coingecko.com/coins/images/1/thumb/bitcoin.png?1547033579,3989.1584912154526,70227188528.50433,9404569962.845264,22308,37570,3516,4558,3912,6300,569,"{'additions': 1012, 'deletions': -1370}",165
0,bitcoin,btc,Bitcoin,Bitcoin,https://assets.coingecko.com/coins/images/1/thumb/bitcoin.png?1547033579,4008.945386314754,70485598083.6817,9206940724.647112,22316,37584,3517,4559,3914,6302,569,"{'additions': 1014, 'deletions': -1388}",167
0,bitcoin,btc,Bitcoin,Bitcoin,https://assets.coingecko.com/coins/images/1/thumb/bitcoin.png?1547033579,3993.394900459549,70330401859.60312,9883972400.782845,22319,37592,3517,4561,3915,6302,569,"{'additions': 339, 'deletions': -368}",165
0,bitcoin,btc,Bitcoin,Bitcoin,https://assets.coingecko.com/coins/images/1/thumb/bitcoin.png?1547033579,3927.577296521434,69206266248.88437,10661215003.017866,22326,37608,3518,4563,3915,6303,569,"{'additions': 339, 'deletions': -368}",152
0,bitcoin,btc,Bitcoin,Bitcoin,https://assets.coingecko.com/coins/images/1/thumb/bitcoin.png?1547033579,3938.659743156943,69368692535.334,19375985748.468594,,,,,,,,"{'additions': None, 'deletions': None}",
0,bitcoin,btc,Bitcoin,Bitcoin,https://assets.coingecko.com/coins/images/1/thumb/bitcoin.png?1547033579,4036.1609179207603,71134892682.49236,16215886403.31156,22343,37655,3518,4568,3921,6309,569,"{'additions': 339, 'deletions': -368}",157
0,bitcoin,btc,Bitcoin,Bitcoin,https://assets.coingecko.com/coins/images/1/thumb/bitcoin.png?1547033579,4028.3913011796208,70961529493.34933,15160882530.764353,22349,37682,3518,4571,3920,6311,569,"{'additions': 339, 'deletions': -368}",146
0,bitcoin,btc,Bitcoin,Bitcoin,https://assets.coingecko.com/coins/images/1/thumb/bitcoin.png?1547033579,4103.322859513963,72303023146.20026,16340416942.468424,22350,37702,3519,4574,3919,6316,571,"{'additions': 937, 'deletions': -757}",147
0,bitcoin,btc,Bitcoin,Bitcoin,https://assets.coingecko.com/coins/images/1/thumb/bitcoin.png?1547033579,4103.856421333923,72305792937.3489,13007834059.593706,,,,,,,,"{'additions': None, 'deletions': None}",
0,bitcoin,btc,Bitcoin,Bitcoin,https://assets.coingecko.com/coins/images/1/thumb/bitcoin.png?1547033579,4103.521738549332,72310769858.13646,9729996888.256725,22360,37716,3523,4576,3919,6316,571,"{'additions': 428, 'deletions': -531}",133
0,bitcoin,btc,Bitcoin,Bitcoin,https://assets.coingecko.com/coins/images/1/thumb/bitcoin.png?1547033579,4146.321927706636,73066822741.99345,12393581266.933498,22367,37735,3519,4576,3920,6319,571,"{'additions': 614, 'deletions': -654}",127
0,bitcoin,btc,Bitcoin,Bitcoin,https://assets.coingecko.com/coins/images/1/thumb/bitcoin.png?1547033579,4862.230427766917,86200568432.5752,24241877355.466156,22382,37748,3524,0,0,6320,571,"{'additions': 614, 'deletions': -654}",124
0,bitcoin,btc,Bitcoin,Bitcoin,https://assets.coingecko.com/coins/images/1/thumb/bitcoin.png?1547033579,4955.831824018296,87673795383.52638,27840300618.851505,22390,37755,3526,0,0,6321,571,"{'additions': 638, 'deletions': -756}",123
0,bitcoin,btc,Bitcoin,Bitcoin,https://assets.coingecko.com/coins/images/1/thumb/bitcoin.png?1547033579,4899.021553783287,86482892583.41296,23773239680.778233,22403,37776,3525,0,0,6324,571,"{'additions': 638, 'deletions': -756}",127
0,bitcoin,btc,Bitcoin,Bitcoin,https://assets.coingecko.com/coins/images/1/thumb/bitcoin.png?1547033579,5014.955826888765,88332459637.7143,20072621554.053333,22410,37784,3527,0,0,6324,571,"{'additions': 711, 'deletions': -869}",125
0,bitcoin,btc,Bitcoin,Bitcoin,https://assets.coingecko.com/coins/images/1/thumb/bitcoin.png?1547033579,5041.869075888309,88955701285.46048,19652913084.11381,22415,37803,3529,0,0,6325,571,"{'additions': 798, 'deletions': -1021}",123
0,bitcoin,btc,Bitcoin,Bitcoin,https://assets.coingecko.com/coins/images/1/thumb/bitcoin.png?1547033579,5176.97788362072,91102196906.19292,22875598540.266926,22425,37832,3528,0,0,6325,571,"{'additions': 616, 'deletions': -829}",123
